category,gDork

Pages Containing Login Portals,site:*/signup/pass 

Sensitive Directories,intitle:"index of" "owncloud/config/*" 

Various Online Devices,inurl:/dana-cached/sc/ 

Error Messages,inurl:"index.php?id=" intext:"Warning: mysql_num_rows()" 

Pages Containing Login Portals,site:*/JIRA/login 

Pages Containing Login Portals,inurl:/sslvpn/Login/Login 

Pages Containing Login Portals,site:*/auth.php 

Advisories and Vulnerabilities,filetype:php inurl:"/general/login.php?PHPSESSID=" 

Advisories and Vulnerabilities,inurl:php-bin/webclient.php 

Sensitive Directories,intitle: "index of" "MySQL-Router" 

Pages Containing Login Portals,site:account.*.*/recovery 

Pages Containing Login Portals,site:*/user/forgotpass 

Pages Containing Login Portals,inurl:r intext:"Keep me logged in" 

Web Server Detection,intext:"This is the default welcome page used to test the correct operation of the Apache server" 

Pages Containing Login Portals,intext:"Any time & Any where" intext:"Username" intext:"Password" intext:login intext:"View: Mobile | PC" 

Pages Containing Login Portals,site:*/request-new-password 

Sensitive Directories,intitle:"index of" "cctv" 

Various Online Devices,intitle:"index of" "cvsweb.cgi" 

Various Online Devices,inurl:./sws/index.sws 

Advisories and Vulnerabilities,"Powered by Lanius CMS" 

Advisories and Vulnerabilities,inurl:/?op=registration 

Pages Containing Login Portals,site:*/password_lost.php 

Various Online Devices,inurl:/frameprop.htm 

Pages Containing Login Portals,inurl:main_login.html intitle:Netgear 

Pages Containing Login Portals,inurl:/global-protect/login.esp 

Advisories and Vulnerabilities,"Powered by SePortal ." 

Pages Containing Login Portals,site:*/PassRecover 

Error Messages,inurl:"/WebResource.axd?d=" AND intext:Error 

Pages Containing Login Portals,inurl:"/auth.php?forgot_password=yes" 

Various Online Devices,inurl:/dana/home/ filetype:cgi 

Files Containing Juicy Info,intext:"Current Configuration:" ext:cfg -git 

Files Containing Juicy Info,intitle:"index of" "vpn-config.*" 

Sensitive Directories,intitle:"index of" "iredadmin/*" 

Files Containing Juicy Info,filetype:reg reg HKEY_USERS -git 

Advisories and Vulnerabilities,"Powered by Podcast Generator" 

Advisories and Vulnerabilities,"Powered By Liferay" 

Pages Containing Login Portals,site:*/requestpassword.* 

Pages Containing Login Portals,site:*/membersarea intitle:"login" 

Files Containing Juicy Info,filetype:reg reg [HKEY_CURRENT_USERSoftware] -git 

Various Online Devices,intitle:"Printer Status" AND inurl:"/PrinterStatus.html" 

Advisories and Vulnerabilities,"Powered by sNews CMS" 

Pages Containing Login Portals,site:*/user/forgot 

Error Messages,inurl:("/storage/logs/laravel.log") AND intext:("local.ERROR" | "NULL.ERROR" | "EMERGENCY:") 

Sensitive Directories,intitle:"index of" cvsroot 

Various Online Devices,inurl:"/English/pages_WinUS/" AND intitle:"Top page" 

Files Containing Juicy Info,intitle:"index of" cvsweb.conf 

Pages Containing Login Portals,site:*/signup/password.php 

Files Containing Juicy Info,filetype:reg reg HKEY_CLASSES_ROOT -git 

Pages Containing Login Portals,site:*/account-recovery.html 

Various Online Devices,inurl: intext:"Copyright CANON INC. " 

Error Messages,intext:"TCPDFtcpdf.php on line " -stackoverflow -wordpress -github 

Various Online Devices,inurl:axis-cgi/mjpg/video.cgi 

Various Online Devices,inurl:/live.htm intext:"M-JPEG"|"System Log"|"Camera-"|"View Control" 

Various Online Devices,inurl:view.shtml 

Various Online Devices,intitle:"webcamXP " inurl: 'Live' 

Various Online Devices,inurl:/HDDReplay.html 

Pages Containing Login Portals,site:*/adfs/ls/ intitle:"Sign In" 

Pages Containing Login Portals,site:*/*/pwdrecovery.php 

Various Online Devices,intitle:("Solr Admin") AND intext:("Dashboard" AND "Corporation") 

Various Online Devices,inurl:cgistart 

Pages Containing Login Portals,site:*/retrieve-password 

Pages Containing Login Portals,site:*/resetpass.php 

Files Containing Passwords,intitle:"index of" "db.connection.js" 

Various Online Devices,intitle:NetworkCamera intext:"Pan / Tilt" inurl:ViewerFrame 

Pages Containing Login Portals,site:*/reminder_password 

Pages Containing Login Portals,site:*/changePassword.php 

Various Online Devices,intitle:("Solr admin page") AND intext:("Make a Query") 

Advisories and Vulnerabilities,"Powered by Zimplit CMS" 

Pages Containing Login Portals,intext:"Welcome! Log in or create an account to continue." 

Various Online Devices,inurl:hp/device/deviceinformation 

Various Online Devices,intext:"EWS Data Collection and Use" 

Pages Containing Login Portals,site:*/retrieve.php 

Pages Containing Login Portals,inurl:/webinterface intitle:"crushftp" 

Various Online Devices,intitle:ThingsBoard inurl:/dashboard 

Pages Containing Login Portals,intext:"This computer system is the property of" -error 

Pages Containing Login Portals,inurl:/forgotpassword intext:"enter username and email" 

Pages Containing Login Portals,intext:"Welcome Admin" 

Pages Containing Login Portals,site:*/Citrix/storeweb 

Network or Vulnerability Data,intitle:traefik inurl:/dashboard 

Files Containing Passwords,"create account" admin ext:cfg 

Files Containing Passwords,"configure account user encrypted" ext:cfg 

Pages Containing Login Portals,site:*/LoginPanel.aspx 

Pages Containing Login Portals,site:*/AdminPanel.aspx 

Files Containing Juicy Info,ext:cfg tac_plus.cfg 

Files Containing Passwords,"d-i passwd/root-password-crypted password" ext:cfg 

Files Containing Juicy Info,inurl:cfg intext:"srb.username.=" "srb.password. = " 

Files Containing Passwords,intitle:"Index of" dbconnect.inc 

Web Server Detection,"Powered by phpBB" inurl:"index.php?s" OR inurl:"index.php?style" 

Files Containing Passwords,"enable password" ext:cfg -git -cisco.com 

Files Containing Passwords,password console-password ext:cfg -git 

Files Containing Passwords,intext:authentication set encrypted-password ext:cfg 

Files Containing Juicy Info,inurl:-cfg intext:"password cipher" 

Files Containing Juicy Info,intitle:"index of" "mysql.properties" 

Files Containing Juicy Info,intext:"dspace.cfg" "db.username = dspace" 

Pages Containing Login Portals,intext:"Please enter your new password" inurl:login filetype:php 

Network or Vulnerability Data,intitle:Grapher AND inurl:sensorlist.htm 

Files Containing Juicy Info,"# Kickstart" filetype:cfg 

Files Containing Juicy Info,intext:"index of /" "token.yml" 

Files Containing Juicy Info,intitle:"index of" database.yml 

Files Containing Passwords,intitle:"index of" "credentials.yml" 

Footholds,intitle:("Mini Shell") AND intext:("Upload File") 

Files Containing Juicy Info,intitle:"index of" "configuration.yml" 

Various Online Devices,filetype:psp intitle:"Motorola - FX" 

Footholds,intitle:("Index of") AND intext:("c.txt" OR "c.txt") 

Files Containing Passwords,intitle:"index of" "passwords.yml" 

Files Containing Juicy Info,intitle:"index of" "settings.yml" 

Files Containing Juicy Info,intitle:"index of" "backup.yml" 

Sensitive Directories,intitle:"index of" "/concrete/Authentication" 

Files Containing Juicy Info,intitle:"index of" "backup.bak" 

Sensitive Directories,intitle:"index of" "jwt-auth" 

Files Containing Juicy Info,intitle:"index of" "secrets.yml" 

Footholds,intitle:"(SSI Web Shell)" AND intext:"(ls -al)" 

Sensitive Directories,intitle:"index of" "metadata" 

Various Online Devices,inurl:"view/index.shtml" 

Web Server Detection,intitle:"index of" "powered by apache " "port " 

Footholds,intitle:"(SSI Web Shell)" AND intext:"(ls -al)" 

Sensitive Directories,intitle:"index of" "maven-metadata.xml" "Port " 

Pages Containing Login Portals,intext:"please enter your username and password" inurl:login filetype:php 

Sensitive Directories,intitle:"index of" "apache-log-parser" "Port " 

Sensitive Directories,intitle:"index of" inurl:wp-json embedurl? 

Various Online Devices,inurl:"MultiCameraFrame?Mode=Motion" 

Sensitive Directories,intitle:"index of" "config.py" 

Various Online Devices,"VB Viewer" inurl:/viewer/live/ja/live.html 

Pages Containing Login Portals,intitle:"Outlook Web App" inurl:"/owa/auth" logon ext:aspx 

Files Containing Juicy Info,intitle:"index of" "access_token" 

Files Containing Juicy Info,intitle:"index of" "settings.py" 

Files Containing Juicy Info,intitle:"index of" accounts.xml 

Web Server Detection,intitle:"Web Server's Default Page" intext:"hosting using Plesk" -www 

Various Online Devices,intitle:"IP CAMERA Viewer" intext:"setting | Client setting" 

Pages Containing Login Portals,inurl:"/jw/web/login" 

Pages Containing Login Portals,intitle:"WEB SERVICE" intext:"Please install plugins first!" 

Files Containing Juicy Info,intitle:"index of" "php.ini" 

Pages Containing Login Portals,inurl:"serverpush.htm" intext:"Real-time" 

Pages Containing Login Portals,inurl:manager/login 

Pages Containing Login Portals,inurl:"/login.htm?page=" intext:"Loading login page" 

Files Containing Passwords,intext:"WPENGINE_SESSION_DB_USERNAME" || "WPENGINE_SESSION_DB_PASSWORD" 

Various Online Devices,inurl:"nobody/loginQuick.htm" 

Pages Containing Login Portals,intitle:"Log In JIRA" inurl:":/login.jsp" 

Sensitive Directories,intext:"index of /" ".composer-auth.json" 

Error Messages,intext:"sf_app" + "frontend sf_app_base_cache_dir:" 

Pages Containing Login Portals,inurl:"Orion/Login.aspx?ReturnUrl=" 

Pages Containing Login Portals,intext:"Welcome to JIRA" "Powered by a free Atlassian Jira community" 

Files Containing Juicy Info,intext:"index of /" "auth.json" 

Pages Containing Login Portals,intext:OpenCart inurl:index.php?route=common/dashboard 

Sensitive Directories,inurl:"/includes/OAuth" intext:"index of /" 

Pages Containing Login Portals,intitle:"Pentaho User Console - Login" 

Sensitive Directories,inurl:"/includes/api/" intext:"index of /" 

Files Containing Juicy Info,intitle:"index of" /"privatekey.txt" OR "private key.txt" 

Web Server Detection,site:ftp.*.com "Web File Manager" 

Pages Containing Login Portals,inurl:/_layouts/userdisp.aspx?id= intext:password 

Various Online Devices,site:*/cgi-bin/webproc intext:"username" 

Pages Containing Login Portals,inurl:"auth.html" intitle:"SonicWall" 

Files Containing Juicy Info,intitle:index.of "cacert.pem" 

Web Server Detection,intitle:"Welcome to JBoss" 

Sensitive Directories,inurl:concrete/config/ 

Sensitive Directories,intitle:"index of" "*php.swp" 

Sensitive Directories,intitle:"index of" "htdocs.zip" 

Files Containing Juicy Info,intitle: index of "*db.tar.gz" 

Various Online Devices,inurl:/swagger/index.html 

Files Containing Juicy Info,intitle:"index of" "smtp.log" 

Advisories and Vulnerabilities,inurl:ReportViewer.aspx 

Files Containing Juicy Info,intitle:"index of/" "db.sql" 

Files Containing Passwords,intext:"username=" AND "password=" ext:log 

Files Containing Juicy Info,intitle:"index of" "env.bak" 

Sensitive Directories,intitle:index.of "db.zip" 

Files Containing Juicy Info,intitle:index.of "awsconfig.json" 

Pages Containing Login Portals,intitle:VMware intext:"VMware, Inc. All rights reserved." AND "Powered by VMware Studio" 

Footholds,site:bamboo.*.* ext:action build 

Sensitive Directories,intitle:index.of "backwpup" 

Files Containing Juicy Info,intext:"SECRET_KEY" ext|py inurl:mysite -site:stackoverflow.com -site:github.com 

Files Containing Juicy Info,intitle:"index.of" intext:"access.txt" 

Files Containing Juicy Info,intitle:index.of "keys.txt" 

Files Containing Juicy Info,intitle:"index.of" intext:"api.txt" 

Files Containing Passwords,intitle:index.of "creds.txt" 

Pages Containing Login Portals,inurl:"saw.dll" AND intitle:"Sign In" 

Various Online Devices,intext:"Security is Off" intitle:"Namenode information" 

Pages Containing Login Portals,intitle:VMware inurl: 

Pages Containing Login Portals,intitle:"RabbitMQ Management" inurl: 

Pages Containing Login Portals,intext:"Rubicon Communications, LLC (Netgate)" intitle:"Login" 

Web Server Detection,intitle:"Welcome to nginx!" intext:"Welcome to nginx on Debian!" intext:"Thank you for" 

Files Containing Juicy Info,accdb OR accde intitle:"index of" -pub -google -books 

Files Containing Juicy Info,krb.conf OR krb.realms intitle:"index of" -public -archive -packages -pub 

Files Containing Juicy Info,filetype:env intext:APP_NAME 

Files Containing Passwords,intitle:"index of" share.passwd OR cloud.passwd OR ftp.passwd -public 

Various Online Devices,"Firmware Version" intitle:"iLO" ProLiant Login -hpe.com -update 

Files Containing Juicy Info,-pub -pool intitle:"index of" db.key OR server.key OR ftp.key OR exchange.key OR host.key OR mail.key 

Sensitive Directories,intitle:"index of" "/Cloudflare-CPanel-.." 

Web Server Detection,intitle:"index of" "Served by Sun-ONE" 

Sensitive Directories,intitle:"index of" "ftp.log" 

Sensitive Directories,-pool intitle:"index of" wget-log -pub 

Sensitive Directories,intitle:"index of" "sms.log" 

Sensitive Directories,intitle:"index of" api_key OR "api key" OR apiKey -pool 

Sensitive Directories,intitle:"index of" .zshrc~ OR .zshrc OR .zshenv OR .zshenv~ -pool -public 

Sensitive Directories,intitle:"index of" .oracle_jre_usage/ 

Files Containing Juicy Info,intitle:"index of" ticket.conf 

Web Server Detection,-pub -pool intitle:"index of" "Served by" "Web Server" 

Sensitive Directories,-pub -pool intitle:"index of" squirrelmail/ 

Pages Containing Login Portals,intitle:Check_MK Multisite Login 

Pages Containing Login Portals,inurl:check_mk/login.py 

Sensitive Directories,-pub -pool intitle:"index of" vagrantfile -"How to" 

Sensitive Directories,intitle:"index of" domain.key -public 

Files Containing Juicy Info,intitle:"index of" crontab.conf 

Files Containing Juicy Info,intitle:"index of" lesshsQ/ OR .lesshst/ -pool -pub 

Pages Containing Login Portals,inurl:memberlogin.php 

Pages Containing Login Portals,site:*/AdminPanel.php 

Files Containing Juicy Info,"fetchmailrc" intitle:"index of" -linux 

Pages Containing Login Portals,intitle:"Sign in" site:*/idaas/ 

Web Server Detection,intitle:"index of" "server at" 

Sensitive Directories,"key" OR key.jar intitle:"index of" webstart 

Various Online Devices,intitle:rsview ext:asp 

Advisories and Vulnerabilities,intext:"Please enable JavaScript in your browser before using Citrix Receiver." AND intext:www.citrix.com 

Files Containing Juicy Info,inurl:"_notes/dwsync.xml" 

Advisories and Vulnerabilities,inurl:/cmsinstall/install ext:aspx 

Advisories and Vulnerabilities,intitle:"kentico database setup" 

Various Online Devices,intitle:"WSO Management Console" 

Pages Containing Login Portals,intitle:"webview login" alcatel lucent 

Files Containing Juicy Info,intitle:"index of" "wp-security-audit-log" 

Pages Containing Login Portals,site:*/cgi/domadmin.cgi 

Pages Containing Login Portals,inurl:":/login.jsp?os_destination=" 

Pages Containing Login Portals,intitle:"LABVANTAGE Logon" 

Pages Containing Login Portals,intext:"powered by codoforum" inurl:"/user/login" 

Various Online Devices,intitle:"Home - Mongo Express" 

Various Online Devices,inurl:"/dashboard/" intitle:"Dashboard" 

Pages Containing Login Portals,inurl:"/index.php?reconnect=" 

Various Online Devices,inurl:"/index.php?enter=guest" 

Pages Containing Login Portals,inurl:":/login" 

Pages Containing Login Portals,intitle:"Zabbix" intext:"username" intext:"password" inurl:"/zabbix/index.php" 

Pages Containing Login Portals,inurl:"/webis/webis_login.html" 

Pages Containing Login Portals,intitle:"Check Point - Login" 

Files Containing Juicy Info,"MailChimp API error:" ext:log 

Sensitive Directories,index of /storage/logs/ 

Pages Containing Login Portals,intitle:"WHMCS - Login" inurl:/admin/login.php 

Pages Containing Login Portals,inurl:admin/login.php?login= intitle:"CMS" 

Pages Containing Login Portals,intitle:"WebSite X Manager" inurl:/admin/login.php 

Pages Containing Login Portals,intitle:"Pfsense - Login" 

Pages Containing Login Portals,inurl:/login.aspx site:com.tr intitle:yönetim 

Files Containing Juicy Info,inurl:"/fmi/webd" intitle:"FileMaker WebDirect" 

Pages Containing Login Portals,intext:"Service provided by Horos." 

Pages Containing Login Portals,site:*/siteminderagent/forms/login.fcc 

Files Containing Juicy Info,[ipn] ext:log 

Files Containing Juicy Info,inurl:"web.config" & intext:"Data Source" & "User ID" & "Password" & "connectionString" & ext:config -git 

Files Containing Juicy Info,Navicat MySQL Data Transfer filetype:sql 

Pages Containing Login Portals,intext:"civicplus" "Login" 

Pages Containing Login Portals,inurl:/remote/login 

Files Containing Juicy Info,ext:sql intext:@gmail.com intext:eadcbaabbeeffe 

Pages Containing Login Portals,intitle:"TMSoft MyAuth Gateway " -DOWNLOAD 

Pages Containing Login Portals,intitle:MK-AUTH :: CONTEUDO RESTRITO -site:mk-auth.com.br 

Pages Containing Login Portals,site:*/my.policy 

Files Containing Juicy Info,filetype:"xls | xlsx | doc | docx | ppt | pptx | pdf" site:gov "FOUO" | "NOFORN" | "Confidential" 

Footholds,inurl:"index of" wso 

Pages Containing Login Portals,inurl:login.jsp intitle:login 

Various Online Devices,inurl:CGI/Java/Serviceability?adapter=device.statistics.device 

Files Containing Juicy Info,intext:"@outlook.com" ext:log 

Sensitive Directories,intitle:index.of "chroot.conf" 

Pages Containing Login Portals,intitle:odoo inurl:login "powered by odoo" "manage databases" 

Files Containing Juicy Info,intext:"@gmail.com" ext:log 

Sensitive Directories,intitle:index of "uploads" 

Files Containing Juicy Info,intitle:"index of" "mail.log" 

Footholds,intitle:"freedom is real - " 

Files Containing Juicy Info,intitle:index.of "access.conf" 

Files Containing Juicy Info,intitle:"index of" "ssh.yml" 

Sensitive Directories,intitle:index.of "htaccess.txt" 

Pages Containing Login Portals,inurl:"/index.php?p=login" 

Error Messages,inurl:elmah.axd ext:axd 

Pages Containing Login Portals,inurl:"/index.php/main/login" 

Pages Containing Login Portals,inurl:"/index.php?pageID=login" 

Pages Containing Login Portals,inurl:"/index.php?content=login" 

Files Containing Passwords,intitle:"index of" "db.conf" 

Error Messages,intitle:"Error log for /LM/" 

Files Containing Juicy Info,intitle:"index of" "databases.yml" 

Pages Containing Login Portals,inurl:"/index.php?title=Special:Userlogin" 

Sensitive Directories,intitle:"index of" "ws_ftp.log" 

Pages Containing Login Portals,site:*/admin/password/reset 

Pages Containing Login Portals,site:*/auth_index.htm?lang=kr&loginvalue=&port= 

Pages Containing Login Portals,site:*/cgi-bin/luci intext:"Authorization Required" 

Pages Containing Login Portals,inurl:"/Admin/Forget.php" 

Pages Containing Login Portals,site:*/account/reset 

Sensitive Directories,intext:"index of" intext:..bak intext:config 

Pages Containing Login Portals,inurl:"/password.php" intitle:"Forgot your password" 

Sensitive Directories,site:* index.of: /android/manifest.xml 

Pages Containing Login Portals,intitle:Metabase inurl:/dash 

Files Containing Juicy Info,db_password filetype:env -site:github.com -git 

Pages Containing Login Portals,inurl:/webconsole/webpages/login.jsp 

Pages Containing Login Portals,inurl:.elasticbeanstalk.com/admin 

Files Containing Juicy Info,intitle:index.of "private-key.pem" 

Files Containing Juicy Info,intitle:"index of" inurl:ftp intext:logs 

Files Containing Juicy Info,intitle:index.of "userpass.txt" 

Pages Containing Login Portals,site:*/cb-forgot-login 

Files Containing Juicy Info,intitle:index.of "credential.txt" 

Sensitive Directories,intitle:index.of "system.db" 

Pages Containing Login Portals,redash inurl:/org_slug 

Files Containing Juicy Info,intitle:index.of "key.txt" 

Advisories and Vulnerabilities,inurl:"index.cfm?action=" intext:"Exception in onError" 

Various Online Devices,intitle:"Marshall VS Server" 

Files Containing Juicy Info,"accounts.xlsx" ext:xlsx 

Error Messages,inurl:"/errors/report.php" intext:"There has been an error processing your request" 

Pages Containing Login Portals,inurl:"/wp-login.php?action=lostpassword" 

Sensitive Directories,intitle:index.of "database.db" 

Pages Containing Login Portals,intitle:"Pandora FMS mobile" 

Sensitive Directories,site:*/logs/default.htm 

Sensitive Directories,intitle:"Index of" wp-upload 

Pages Containing Login Portals,site:*/account/lost_password 

Files Containing Passwords,intitle:"Index of" password.txt 

Files Containing Juicy Info,site:mypublicinbox.com intitle:email 

Network or Vulnerability Data,intitle:"netdata dashboard" AND intext:"Costa Tsaousis" 

Network or Vulnerability Data,intitle:"Cacti" AND inurl:"/monitor/monitor.php" 

Pages Containing Login Portals,site:passport.*.*/login 

Pages Containing Login Portals,intitle:"API Publisher- Login" 

Pages Containing Login Portals,site:watch.*.*/login 

Pages Containing Login Portals,site:*/Dashboard/ intitle:"login" 

Network or Vulnerability Data,intitle:"Dashboards" AND inurl:"/zabbix/zabbix.php?action=dashboard.list" 

Sensitive Directories,site:* index of: /config 

Files Containing Juicy Info,site:*.freshservice.com/support/solutions 

Pages Containing Login Portals,inurl:"BasicAuthenticator:LOCAL" 

Pages Containing Login Portals,site:*/loginportal/ intitle:"login" 

Pages Containing Login Portals,site:*/password/remind 

Pages Containing Login Portals,inurl:"/showLogin.cc?isMobile=false" 

Pages Containing Login Portals,inurl:"/index.php?action=login" 

Pages Containing Login Portals,inurl:/clientlogin 

Sensitive Directories,intitle:"Index of" secret 

Sensitive Directories,inurl:/wp-content/uploads/ninja-forms/ intitle:"index of" 

Various Online Devices,intext:{{szErrorTip}} inurl:/doc/page/login.asp 

Pages Containing Login Portals,inurl:"apex/f?p=" 

Pages Containing Login Portals,inurl:/userlogin 

Pages Containing Login Portals,site:*/usercp.php 

Sensitive Directories,site:* index of: *.exe 

Pages Containing Login Portals,inurl:"/index.php?gt=member/login" 

Pages Containing Login Portals,inurl:"/index.php/site/login" 

Pages Containing Login Portals,inurl:"/index.php?r=site/login" 

Pages Containing Login Portals,inurl:"/index.php?route=account/login" 

Pages Containing Login Portals,site:*/oauth/authenticate 

Pages Containing Login Portals,inurl:/customerlogin 

Files Containing Juicy Info,intitle:"Index Of" intext:sftp-config.json 

Pages Containing Login Portals,inurl:/stafflogin 

Sensitive Directories,intitle:"index of" "/etc/mysql/" 

Pages Containing Login Portals,inurl:"/index.php?page=login" 

Pages Containing Login Portals,inurl:/studentlogin 

Files Containing Juicy Info,inurl:"/.vscode/ftp-sync.json" 

Files Containing Juicy Info,inurl:"/.vscode/sftp.json" 

Files Containing Juicy Info,intitle:"index of" "web.config.txt" 

Error Messages,site:*/wp-admin/maint/repair.php intext:"define(WP_ALLOW_REPAIR,true);" 

Error Messages,site:*/wp-includes/Requests/php_errorlog 

Pages Containing Login Portals,site:*/account/preferences 

Vulnerable Servers,"Powered by vBulletin Version .." 

Pages Containing Login Portals,site:*/request-password-reset 

Error Messages,site:*/cgi-sys/defaultwebpage.cgi intext:"SORRY!" 

Pages Containing Login Portals,inurl:/dana-na/ filetype:cgi 

Files Containing Juicy Info,site:*/wp-settings.php 

Advisories and Vulnerabilities,intext:Powered By vBulletin .. inurl:forum. 

Footholds,site:*/wp-admin/install.php intitle:WordPress Installation 

Pages Containing Login Portals,site:*/wp-admin/user-edit.php 

Files Containing Juicy Info,site:*/logs/error.log 

Files Containing Juicy Info,site:*/logs/error.log 

Web Server Detection,site:*/server-status intext:"Apache server status for" 

Files Containing Usernames,intitle:index.of "users.db" 

Files Containing Juicy Info,site:*/*/conf/httpd.conf 

Files Containing Juicy Info,inurl:credentials.txt -github -git -gitlab 

Pages Containing Login Portals,site:*/pwdform.htm 

Pages Containing Login Portals,site:*/oauth/authorize 

Sensitive Directories,indexof:backup/web.config 

Sensitive Directories,intitle:index.of "admin" filetype:sql 

Sensitive Directories,intitle:index.of "admin.db" 

Pages Containing Login Portals,inurl:webmail/src/login.php 

Files Containing Juicy Info,site:ftp.*.* index of: manifest.xml 

Pages Containing Login Portals,site:* intitle:"reset password" 

Sensitive Directories,indexof:backup/mysql 

Files Containing Juicy Info,index.of "crossdomain.xml" 

Pages Containing Login Portals,inurl:"/prweb/prwebLDAP/" 

Files Containing Passwords,"contrasena" filetype:sql -github.com 

Error Messages,site:*/Shibboleth.sso/SAML/POST 

Pages Containing Login Portals,intitle:"login" site:welcome.*.* 

Footholds,inurl:"index.php?db=" 

Files Containing Juicy Info,intitle:"index of" inurl:/*sql* filetype:log 

Sensitive Directories,indexof:.htaccess 

Pages Containing Login Portals,site:*/authzssl/forget_password 

Files Containing Juicy Info,intitle:"index of" "debian.conf" 

Pages Containing Login Portals,site:*/casAuthn/login.php 

Files Containing Juicy Info,intitle:"index of" "/mysql.log" 

Files Containing Juicy Info,inurl:/application/config/database.php* 

Error Messages,site:*//.html intitle:"" 

Pages Containing Login Portals,site:*/authUpdate intitle:"Account Access Help" 

Sensitive Directories,intitle:index.of./.htaccess 

Pages Containing Login Portals,site:*/index_signin.php 

Various Online Devices,intitle:"openshift web console" inurl:console inurl:/console 

Pages Containing Login Portals,site:cpanel.*.* intitle:"login" -site:forums.cpanel.net 

Pages Containing Login Portals,intext:"Please log on to use the mikrotik hotspot service" intitle:"mikrotik hotspot >login" -github -site:mikrotik.com 

Pages Containing Login Portals,site:*:/login_up.php 

Pages Containing Login Portals,inurl:"/usp-core/app/authUpdate" 

Files Containing Juicy Info,site:*/sitemap/sitemap.xml 

Pages Containing Login Portals,inurl:"/phpmyadmin/user_password.php" -inurl:git 

Pages Containing Login Portals,site:*/nms/login intitle:"UNMS" 

Sensitive Directories,inurl:/_vti_txt* 

Sensitive Directories,inurl:wp-content intext:backup-db 

Sensitive Directories,site:ftp.* index of /ftp/backup 

Files Containing Juicy Info,"Scanned by Camscanner" filetype:pdf 

Pages Containing Login Portals,intitle:"XENON :: Login" 

Pages Containing Login Portals,inurl:"/SecureAuth.aspx" 

Sensitive Directories,inurl:/wp-admin/includes/plugin-install.php 

Pages Containing Login Portals,site:dev.*.*/signin 

Pages Containing Login Portals,site:*/recover-pass 

Sensitive Directories,inurl:/scgi-bin* 

Pages Containing Login Portals,site:app.*.*/ intext:login 

Pages Containing Login Portals,site:smtp.*.*/login 

Sensitive Directories,inurl: /upload.php intitle:index of 

Pages Containing Login Portals,inurl:show_port_res_settings 

Pages Containing Login Portals,intitle:login enterprise 

Pages Containing Login Portals,inurl:/awcuser* 

Pages Containing Login Portals,site:remote.*.* intitle:"User Authentication" 

Pages Containing Login Portals,site:exchange.*.*/owa/ 

Sensitive Directories,inurl:/database* ext:sql intext:index of -site:github.com 

Sensitive Directories,inurl:admin/data* intext:index of 

Pages Containing Login Portals,site:*/forgot-password 

Pages Containing Login Portals,site:auth.*.*/signin 

Pages Containing Login Portals,site:*/resetpassword.php 

Files Containing Juicy Info,inurl: /config.txt ext:txt intext: 

Pages Containing Login Portals,site:*:/login#forgot intitle:"login" 

Pages Containing Login Portals,site:*/password_reset/ 

Pages Containing Login Portals,site:intranet.*.*/login/ 

Pages Containing Login Portals,site:management.*.*/login/ 

Pages Containing Login Portals,site:monitor.*.*/login intitle:"Login" 

Pages Containing Login Portals,inurl:admin/changepassword* 

Sensitive Directories,inurl:/admin/ intitle:index.of 

Pages Containing Login Portals,site:*/SendPassword 

Web Server Detection,inurl:/iisstart.htm intitle:"IIS" 

Various Online Devices,inurl:"/hp_login.html" 

Pages Containing Login Portals,site:moodle.*.*/login 

Pages Containing Login Portals,site:*/updatepassword.php 

Pages Containing Login Portals,site:*/validar_usuario.php 

Web Server Detection,inurl:/phpmyadmin/changelog.php -github -gitlab 

Pages Containing Login Portals,intitle:"Login to Webmin" intext:"You must enter a username and password to login to the server" 

Pages Containing Login Portals,site:*/exchange-login/ intitle:"Login" 

Pages Containing Login Portals,site:*/authlogin/ intitle:login 

Pages Containing Login Portals,site:*/securelogin.asp 

Pages Containing Login Portals,site:*/Security/Login 

Files Containing Passwords,intext:"@gmail.com" intext:"password" inurl:/files/ ext:txt 

Pages Containing Login Portals,site:ftp://ftp.*.*/login -inurl:https:// 

Pages Containing Login Portals,site:*/m-login.html 

Pages Containing Login Portals,site:*/user/password/ 

Files Containing Juicy Info,site:*/robots.txt intext:User-agent: 

Files Containing Juicy Info,site:*/phpMyAdmin/robots.txt 

Network or Vulnerability Data,intitle:"OpenNMS web console" inurl:opennms/index.jsp 

Network or Vulnerability Data,inurl:zabbix/zabbix.php 

